,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
0,11,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
1,12,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1.0, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
2,13,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1}",0.0
3,14,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1}",0.0
4,15,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
5,16,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
6,18,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
7,19,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
8,20,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
9,21,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
10,22,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
11,23,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
12,24,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
13,27,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
14,28,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
15,29,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1.0, 'alpha_2': 1.0, 'lambda_1': 1.0, 'lambda_2': 1.0}",0.0
16,30,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1.0, 'lambda_2': 1}",0.0
17,31,-136.16146970638306,-136.16146970638306,-136.16146970638306,False,0,"{'n_iter': 1, 'alpha_1': 1, 'alpha_2': 1, 'lambda_1': 1, 'lambda_2': 1.0}",0.0
