,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
0,11,-60.77156912358145,-60.77156912358145,-60.77156912358145,False,0,"{'max_depth': 20, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.1}",0.0
1,12,-55.21622809956668,-55.21622809956668,-55.21622809956668,False,0,"{'max_depth': 80, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
2,13,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
3,14,-60.70675938812504,-60.70675938812504,-60.70675938812504,False,0,"{'max_depth': None, 'min_samples_split': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
4,15,-60.03545637021608,-60.03545637021608,-60.03545637021608,False,0,"{'max_depth': 70, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'min_impurity_decrease': 0}",0.0
5,16,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
6,17,-60.70675938812504,-60.70675938812504,-60.70675938812504,False,0,"{'max_depth': None, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
7,18,-55.21622809956668,-55.21622809956668,-55.21622809956668,False,0,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
8,21,-49.31539316002493,-49.31539316002493,-49.31539316002493,False,0,"{'max_depth': 60, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
9,22,-50.47143640829394,-50.47143640829394,-50.47143640829394,False,0,"{'max_depth': 60, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
10,23,-50.47143640829394,-50.47143640829394,-50.47143640829394,False,0,"{'max_depth': 60, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.01}",0.0
