,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
0,11,-24.173329918224884,-24.173329918224884,-24.173329918224884,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
1,12,-136.46514836023414,-136.46514836023414,-136.46514836023414,False,0,"{'learning_rate': 0.2, 'n_estimators': 19, 'max_features': None, 'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_leaf_nodes': 2, 'min_impurity_decrease': 0.3}",0.0
2,13,-59.9528102462927,-59.9528102462927,-59.9528102462927,False,0,"{'learning_rate': 0.2, 'n_estimators': 19, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_leaf_nodes': 5, 'min_impurity_decrease': 0.3}",0.0
3,14,-59.9528102462927,-59.9528102462927,-59.9528102462927,False,0,"{'learning_rate': 0.2, 'n_estimators': 19, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_leaf_nodes': 5, 'min_impurity_decrease': 0.3}",0.0
4,15,-40.153274610285635,-40.153274610285635,-40.153274610285635,False,0,"{'learning_rate': 0.3, 'n_estimators': 19, 'max_features': 'log2', 'max_depth': 80, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.2}",0.0
5,16,-59.9528102462927,-59.9528102462927,-59.9528102462927,False,0,"{'learning_rate': 0.2, 'n_estimators': 19, 'max_features': 'log2', 'max_depth': 40, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 5, 'min_impurity_decrease': 0.3}",0.0
6,18,-59.9528102462927,-59.9528102462927,-59.9528102462927,False,0,"{'learning_rate': 0.2, 'n_estimators': 19, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_leaf_nodes': 5, 'min_impurity_decrease': 0.3}",0.0
7,19,-24.173329918224884,-24.173329918224884,-24.173329918224884,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
8,20,-24.173329918224884,-24.173329918224884,-24.173329918224884,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
9,21,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
10,22,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
11,24,-24.173329918224884,-24.173329918224884,-24.173329918224884,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
12,25,-24.173329918224884,-24.173329918224884,-24.173329918224884,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 40, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
13,26,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
14,27,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
15,28,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
16,29,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
17,31,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
18,34,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
19,35,-23.20227999790377,-23.20227999790377,-23.20227999790377,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
20,36,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
21,37,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
22,38,-23.20227999790377,-23.20227999790377,-23.20227999790377,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
23,39,-23.20227999790377,-23.20227999790377,-23.20227999790377,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
24,40,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2}",0.0
25,41,-23.20227999790377,-23.20227999790377,-23.20227999790377,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 100, 'min_impurity_decrease': 0.1}",0.0
26,42,-24.149530841481294,-24.149530841481294,-24.149530841481294,False,0,"{'learning_rate': 0.5, 'n_estimators': 21, 'max_features': 'sqrt', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 9, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.1}",0.0
