,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
0,11,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
1,12,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.1, 'fit_intercept': False}",0.0
2,13,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 100, 'fit_intercept': False}",0.0
3,14,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
4,15,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.1, 'fit_intercept': False}",0.0
5,17,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
6,18,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
7,19,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
8,20,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
9,22,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
10,23,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
11,24,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
12,25,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
13,26,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 100, 'fit_intercept': False}",0.0
14,27,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 100, 'fit_intercept': False}",0.0
15,29,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
16,30,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
17,31,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
18,32,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.1, 'fit_intercept': False}",0.0
19,33,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 1, 'fit_intercept': False}",0.0
20,34,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 100, 'fit_intercept': False}",0.0
21,35,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
22,36,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
23,39,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 0.1, 'fit_intercept': False}",0.0
24,40,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
25,41,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
26,42,-218.15153979797938,-218.15153979797938,-218.15153979797938,False,0,"{'C': 10, 'fit_intercept': False}",0.0
