,index,max_test_score,mean_test_score,min_test_score,nan_test_score?,param_index,params,std_test_score
0,11,-36.249444147011545,-36.249444147011545,-36.249444147011545,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': False}",0.0
1,12,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': None, 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.001, 'bootstrap': True}",0.0
2,13,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
3,14,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
4,15,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
5,16,-36.249444147011545,-36.249444147011545,-36.249444147011545,False,0,"{'n_estimators': 17, 'max_features': None, 'max_depth': 30, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_leaf_nodes': 5, 'min_impurity_decrease': 0.001, 'bootstrap': False}",0.0
6,17,-56.8247178388383,-56.8247178388383,-56.8247178388383,False,0,"{'n_estimators': 15, 'max_features': None, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.4, 'bootstrap': True}",0.0
7,19,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
8,20,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
9,21,-47.02493399479502,-47.02493399479502,-47.02493399479502,False,0,"{'n_estimators': 11, 'max_features': 'log2', 'max_depth': 90, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
10,22,-40.88277482574509,-40.88277482574509,-40.88277482574509,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'min_impurity_decrease': 0.2, 'bootstrap': False}",0.0
11,24,-40.88277482574509,-40.88277482574509,-40.88277482574509,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
12,25,-40.88277482574509,-40.88277482574509,-40.88277482574509,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': False}",0.0
13,26,-42.482773795850505,-42.482773795850505,-42.482773795850505,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': True}",0.0
14,27,-40.88277482574509,-40.88277482574509,-40.88277482574509,False,0,"{'n_estimators': 17, 'max_features': 'log2', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.2, 'bootstrap': False}",0.0
